date,region,rainfall,temperature,humidity
2020-01-01,Jakarta,7.25,28.6,86.4
2020-01-02,Jakarta,0.0,34.0,60.3
2020-01-03,Jakarta,29.64,22.8,89.8
2020-01-04,Jakarta,8.05,28.6,92.3
2020-01-05,Jakarta,16.7,28.2,82.4
2020-01-06,Jakarta,12.06,27.4,84.9
2020-01-07,Jakarta,7.68,25.5,90.5
2020-01-08,Jakarta,0.0,29.3,67.0
2020-01-09,Jakarta,0.0,32.4,73.8
2020-01-10,Jakarta,0.0,31.8,62.0
2020-01-11,Jakarta,34.54,26.9,79.3
2020-01-12,Jakarta,0.0,32.3,58.2
2020-01-13,Jakarta,31.05,29.8,88.8
2020-01-14,Jakarta,9.61,27.4,82.6
2020-01-15,Jakarta,17.26,29.7,86.5
2020-01-16,Jakarta,0.0,32.7,58.5
2020-01-17,Jakarta,0.0,35.0,68.4
2020-01-18,Jakarta,0.0,26.8,73.2
2020-01-19,Jakarta,5.09,30.1,82.3
2020-01-20,Jakarta,0.0,29.0,56.9
2020-01-21,Jakarta,0.0,31.0,70.0
2020-01-22,Jakarta,0.0,34.3,59.7
2020-01-23,Jakarta,0.0,33.0,78.7
2020-01-24,Jakarta,0.0,32.4,58.0
2020-01-25,Jakarta,15.34,22.7,86.7
2020-01-26,Jakarta,15.15,26.4,94.4
2020-01-27,Jakarta,22.83,28.0,76.6
2020-01-28,Jakarta,20.95,32.9,84.0
2020-01-29,Jakarta,25.04,29.5,79.3
2020-01-30,Jakarta,0.0,33.6,55.9
2020-01-31,Jakarta,50.62,30.8,82.5
2020-02-01,Jakarta,37.98,24.9,85.3
2020-02-02,Jakarta,0.0,33.1,55.9
2020-02-03,Jakarta,10.15,27.4,89.1
2020-02-04,Jakarta,0.0,29.5,78.6
2020-02-05,Jakarta,90.76,28.5,88.9
2020-02-06,Jakarta,47.64,26.3,88.1
2020-02-07,Jakarta,45.4,28.6,81.4
2020-02-08,Jakarta,22.83,25.6,88.7
2020-02-09,Jakarta,8.56,29.9,87.1
2020-02-10,Jakarta,0.0,30.3,66.5
2020-02-11,Jakarta,9.14,26.4,86.4
2020-02-12,Jakarta,0.0,33.7,92.3
2020-02-13,Jakarta,0.0,32.2,71.3
2020-02-14,Jakarta,9.44,27.8,88.7
2020-02-15,Jakarta,0.0,30.3,49.9
